Bank_Code,Bank_Name,Branch_Code,Branch_Name,Branch_Address,City,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",315,מודיעין,"ערער 14 ערער פינת הפיקוס, מודיעין",מודיעין-מכבים-רעות*,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",398,כרמיאל,החרושת 15 ,כרמיאל,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",377,אילת,שד' התמרים 11 שדרות התמרים 11,אילת,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",359,אוצר החייל קרית גת,הזית 54 השוק החדש,קריית גת,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",348,אפק,יגאל אלון 18 מרכז מסחרי שפיר,ראש העין,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",360,קרית שמונה אוצר החייל,שד' תל חי 83 ,קריית שמונה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",395,רחובות,הרצל 182 ,רחובות,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",305,סניף וירטואלי מי,עזרא 4 ,רחובות,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",380,כפר סבא,רוטשילד 56 ,כפר סבא,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",335,"כפר סבא הירוקה אוצה""ח",רפפורט 1 ,כפר סבא,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",373,אשקלון אוצר החייל,רמז 25 מרכז מסחרי חדש,אשקלון,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",346,נתניה,הרצל 5 ,נתניה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",316,קרית השרון,טום לנטוס 1 ,נתניה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",329,יוקנעם,שד' רבין 9 ,יקנעם עילית,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",313,ראש פינה,האגס 0 קניון סנטר הגליל,ראש פינה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",319,נהריה,שד' הגעתון 41 ,נהרייה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",358,אוצר החייל יהוד,דרך העצמאות 56 ,יהוד-מונוסון,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",357,הסניף המרכזי,שד' רוטשילד 42 ,תל אביב -יפו,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",378,הקריה,"קפלן, הקריה 27 ",תל אביב -יפו,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",322,גבעתיים,הורודצקי 10 ,תל אביב -יפו,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",372,תל השומר,תל השומר 0 ,רמת גן,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",327,מרכז עסקים שרון,משכית 35 ,הרצלייה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",381,רמון,"מחנה טלי, ד.נ. נגב 0 ","הר הנגב הצפוני מ""א 48",,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",369,ירושלים,הלל 10 ,ירושלים,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",336,חיל הים - חיפה,0 0 בח חיפה, בת-גלים,,,,,,,,,,,,,,,32.834295,34.982308
14,"בנק אוצר החייל בע""מ",376,חצרים,"בסיס צבאי חצרים 0 מחנה יפה,",חצרים,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",311,פרדס חנה,דרך הבנים 17 דרך הבנים 17 מרכז מסחרי,פרדס חנה-כרכור,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",317,פתח תקוה - כפר-גנים,העצמאות 65 קניון כפר גנים,פתח תקווה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",397,גדרה,בן גוריון 105 ,גדרה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",366,תל נוף,"בסיס צבאי, מחנה תל-נוף 0 ",גדרה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",342,נבטים,"מחנה עדי, ערד 0 ",ערד,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",477,עובדה,מחנה יוכבד 0 ממס הקניון האדום," אילת""",,,,,,,,,,,,,,,34.956666,
14,"בנק אוצר החייל בע""מ",314,גלילות,מתחם גלילות 0 ,רמת השרון,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",312,יבנה,הדוגית 16 הדוגית 16 יבנה,יבנה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",367,חצור,"בסיס צבאי, מחנה מרים 0 ",חצור-אשדוד,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",371,רמת דוד,מחנה יהודית 0 ,רמת דוד,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",379,פלמחים,"מחנה הילה, דנ גן שורק 0 """,פלמחים,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",350,"מת""מ אומגה","נחום חת 1 א""ת מת""מ - טירת הכרמל",טירת כרמל,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",362,מפרץ חיפה,החרושת 0 מתחם חוצות המפרץ (צומת וולקן),חיפה,,,,,,,,,,,,,,,,
3,"בנק אש ישראל בע""מ",1,ישראל,החרש 20 ,תל אביב -יפו,,,,,,,,,,,,,,,,
3,"בנק אש ישראל בע""מ",900,תפעולי,החרש 20 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",128,אשקלון,שדרות בן גוריון 15 ,אשקלון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",996,ברנע שלוחת אשקלון,שדרות ירושלים 119 ,אשקלון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",117,נס ציונה,ויצמן 31 ,נס ציונה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",93,נצרת,בילאל 45 ,נצרת,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",42,נתניה,סמילנסקי 6 ,נתניה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",320,קריית השרון,טום לנטוס 26 ,נתניה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",111,דימונה,שד' יגאל אלון 1 המרכז המסחרי (אגף חדש),דימונה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",99,עכו,בן עמי 67 ,עכו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",2,עפולה,שדרות מנחם בגין 72 ,עפולה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",361,פרדס חנה,גלעד 1 ,פרדס חנה-כרכור,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",362,אם המושבות,חיה פיינשטיין 11 ,פתח תקווה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",41,פתח תקוה,סלור 22 ,פתח תקווה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",56,כפר גנים,העצמאות 65 ,פתח תקווה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",98,צפת,העליה ב' 4 מרכז מסחרי,צפת,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",75,קרית מוצקין,דקר 1 ,קריית מוצקין,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",396,אסף הרופא,קניון אסף סנטר 1 ,ראשון לציון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",506,מערב ראשון לציון,מורשת ישראל 15 נווה שקמה,ראשון לציון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",55,ראשון לציון,הרצל 87 ,ראשון לציון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",303,מודיעין,לב העיר 2 ,מודיעין-מכבים-רעות*,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",174,כרמיאל,מעלה כמון 5 מתחם חוצות כרמיאל,כרמיאל,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",5,נוף הגליל,דרך  אריאל שרון41 41 ,נוף הגליל                ,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",112,גדרה,הבילויים 16 ,גדרה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",3,אילת,שד' התמרים 1 מרכז השלום,אילת,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",146,הרצליה פיתוח,קדושי השואה 63 ,הרצלייה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",90,חדרה,הרברט סמואל 68 ,חדרה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",49,חולון,סוקולוב 68 ,חולון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",103,קריית אילון חולון,פנחס אילון 13 ,חולון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",46,טבריה,הגליל 52 גליל סנטר,טבריה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",77,קרית אתא,העצמאות 61 ,קריית אתא,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",510,מבשרת ציון,הראל 1 קניון הראל,מבשרת ציון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",517,לב העיר באר שבע,הנריאטה סולד 8 ,באר שבע,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",991,שלוחת באר שבע,שאול המלך 80 ,באר שבע,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",94,באר שבע,שד' דוד טוביהו 125 ,באר שבע,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",998,פל ים שלוחת מרכז הכרמל,פל ים 9 ,חיפה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",76,מרכז הכרמל,שדרות הנשיא 124 ,חיפה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",106,בית הקרנות,הנביאים 18 ,חיפה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",107,רמת אלמוגי,אינשטיין 139 ,חיפה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",97,נהריה,שדרות הגעתון 29 ,נהרייה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",95,זכרון יעקב,הדגן 2 ,זכרון יעקב,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",443,קרית ביאליק,דרך עכו 194 הקריון,קריית ביאליק,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",187,הוד השרון,הבנים 14 ,הוד השרון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",118,נוה אביבים,יהודה הנשיא 34 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",514,מרכז קופות תל אביב,אבן גבירול 66 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",515,קדמת עתידים,הברזל 24 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",83,צפון דיזנגוף,דיזנגוף 191 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",85,ככר יצחק רבין,אבן גבירול 66 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",147,לב דיזנגוף,דיזנגוף 55 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",151,יד אליהו,דרך משה דיין 64 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",152,ככר המדינה,ה' באייר 66 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",8,שינקין,שינקין 66 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",26,חצרות יפו,שד' ירושלים 15 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",34,אלון,יגאל אלון 96 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",198,אפקה,רמת אביב ג' 25 מרכז שוסטר,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",43,רמלה,שדרות הרצל 55 ,רמלה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",123,ככר היהלום,אבא הלל סילבר 12 ,רמת גן,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",114,רובע ד',חיים משה שפירא 1 ,אשדוד,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",4,אשדוד,הרצל 1 ,אשדוד,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",321,הלאום,שד' יצחק רבין 10 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",525,מרכז קופות מחנה יהודה,רח' יפו 121 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",992,שלוחת אדומים-סניף רמת אשכול,דרך קדם 5 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",62,המושבה,עמק רפאים 21 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",64,גאולה,יחזקאל 11 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",65,קרית היובל,בורוכוב 74 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",66,רחביה,קרן היסוד 5 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",68,מזרח ירושלים,סולטן סולימן 19 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",69,בית הכרם,בית הכרם 29 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",61,מחנה יהודה,רח' יפו 121 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",993,שלוחת מרכז כלל,רח' יפו 121 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",109,רמת אשכול,פארן 9 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",194,שלוחת מרכז כלל,רח' יפו 121 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",159,מרכז ירושלים,יפו 103 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",162,תלפיות ירושלים,האומן 17 קניון לב תלפיות,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",153,קרית מלאכי,"רש""י 1 המרכז המסחרי החדש",קריית מלאכי,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",167,בית שמש,יגאל אלון 3 קניון BIG FASHION,בית שמש,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",398,קרית אור,שמירה אימבר גדיש 9 ,קריית אונו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",136,קיראון,שלמה המלך 38 ,קריית אונו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",131,קרית גת,הגפן 3 ,קריית גת,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",302,גבעת טל,גבעת טל 2 מרכז מסחרי גבעת טל,ראש העין,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",125,רמת השרון,סוקולוב 46 ,רמת השרון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",175,יבנה,הירמוך 1 ,יבנה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",994,כפר יונה -שלוחת נתניה,דוד בן גוריון 1 ,כפר יונה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",110,קרית שמונה,"טשרנחובסקי 4 קניון ""8 באמצע""",קריית שמונה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",997,מגדל העמק- שלוחת סניף עפולה,דרך העצמאות 1 ,מגדל העמק,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",137,מגדל העמק,דרך העצמאות 1 ,מגדל העמק,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",45,רחובות,הרצל 190 ,רחובות,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",54,כפר סבא,ויצמן 75 ,כפר סבא,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",59,לוד,דוד המלך 2 ,לוד,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",220,טלבנק,דרך  חיפה 30 ,קריית אתא,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",222,טלבנק,תקשוב 10 ,דימונה,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",201,מערך החשבות,דיסקונט 1 ,ראשון לציון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",212,אגף נכסים ובינוי,דיסקונט 1 קמפוס דיסקונט,ראשון לציון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",219,טלבנק,דיסקונט 1 קמפוס דיסקונט,ראשון לציון,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",348,מרכז מזומנים ירושלים,הרטום 8 הר חוצבים,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",221,טלבנק,קרית המדע 5 ,ירושלים,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",129,אגף התפעול-סליקה מרכזית,הרצל 160 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",468,יחידת עיקולים,הרצל 160 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",518,מחלקת בנקים ומוסדות פיננסים,יהודה הלוי 27 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",520,"מחלקת שירותי מט""ח ותקשורת בין בנקאית",הרצל 160 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",6,מדור פיתוח במחלקת חברות,יהודה הלוי 27 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",200,מחלקת ביצוע,הרצל 160 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",202,אגף היעוץ המשפטי,יהודה הלוי 17 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",210,"דיסקונט ניהול קופות גמל בע""מ",לילנבלום 25 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",211,אגף היעוץ המשפטי,יהודה הלוי 23 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",213,אגף ניירות ערך,יהודה הלוי 38 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",305,ילמ,יהודה הלוי 23 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",308,ייעוץ פנסיוני,יהודה הלוי 23 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",316,משרד אחורי- תפעול הייעוץ הפנסיוני,הרצל 160 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",176,המפרץ,דרך חיפה 30 קניון שער הצפון,קריית אתא,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",100,שדרות רוטשילד,שדרות רוטשילד 76 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",495,מרכז השקעות בינלאומי,יהודה הלוי 27 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",130,מאפו,בן יהודה 29 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",10,"ראשי ת""א",יהודה הלוי 27 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",14,תל אביב סיטי,יהודה הלוי 38 ,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",232,המרכז לבנקאות פרטית בינלאומית,יהודה הלוי 27 קומה 2,תל אביב -יפו,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",452,מרכז עסקים תל אביב,אבא הלל סילבר 12 ,רמת גן,,,,,,,,,,,,,,,,
11,"בנק דיסקונט לישראל בע""מ",80,בורסת היהלומים,ז'בוטינסקי 3 ,רמת גן,,,,,,,,,,,,,,,,
